Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE,SALARY,,
104,Jrue Holiday,34,BOS,PG,62,62,1896,0.565,15.8,2.8,2.4,5.1,0.13,-0.3,1,0.7,1.3,0.744,0.27267711,23.7037037,23703703.7,30000000,,
55,Harrison Barnes,32,SAS,PF,82,82,2230,0.656,15.7,5,0.5,5.6,0.12,1.7,-1.7,0,1.2,0.415,0.271882317,23.56753813,23567538.13,18000000,,
143,Brandin Podziemski,21,GSW,SG,64,33,1716,0.557,18.3,1.9,2.3,4.2,0.117,-0.1,0.8,0.7,1.2,0.585,0.270288762,23.43137255,23431372.55,3519960,,
296,Khris Middleton,33,MIL,SF,23,7,534,0.627,22,1.1,0.6,1.7,0.15,1.7,0.6,2.2,0.6,0.585,0.269694799,23.29520697,23295206.97,31000000,,
235,Brandon Clarke,28,MEM,PF,64,18,1207,0.638,15.3,2.7,1.7,4.4,0.174,0,0.8,0.8,0.9,0.585,0.264660821,23.15904139,23159041.39,12500000,,
90,Quentin Grimes,24,PHI,SG,28,25,943,0.592,27.5,1,0.6,1.6,0.083,2.7,-1.5,1.2,0.8,0.293,0.244490569,23.02287582,23022875.82,4296682,,
114,RJ Barrett,24,TOR,SF,58,58,1869,0.547,28.7,0.6,1.7,2.4,0.061,1.2,-0.7,0.6,1.2,0.366,0.23339933,22.88671024,22886710.24,25794643,,
183,Luke Kennard,28,MEM,SG,65,11,1472,0.631,14.5,2.6,1.3,3.9,0.127,0.9,0.2,1.1,1.2,0.585,0.230237904,22.75054466,22750544.66,9250000,,
217,Max Strus,28,CLE,SF,50,37,1273,0.607,14.7,2.2,1.3,3.4,0.13,1.1,0.2,1.3,1.1,0.78,0.229390373,22.61437908,22614379.08,15212068,,
153,Al Horford,38,BOS,C,60,42,1659,0.563,13.8,2,2.4,4.4,0.129,0.1,1.1,1.2,1.3,0.744,0.22439875,22.47821351,22478213.51,9500000,,
279,Gary Payton II,32,GSW,SG,62,11,927,0.635,16.1,1.5,1.5,3,0.155,-0.5,2,1.4,0.8,0.585,0.222741225,22.34204793,22342047.93,9130000,,
174,Jonas Valanciunas,32,SAC,C,32,9,541,0.604,20.9,1.3,0.7,2.1,0.183,0.6,0.5,1.1,0.4,0.488,0.222386084,22.20588235,22205882.35,9900000,,
286,Day'Ron Sharpe,23,BRK,C,50,2,907,0.568,19.9,1.3,1.4,2.7,0.141,0,0.9,0.9,0.7,0.317,0.221840372,22.06971678,22069716.78,3989122,,
91,Jordan Poole,25,WAS,SG,68,68,2001,0.591,29,1.2,0.8,2,0.047,2,-1.6,0.4,1.2,0.22,0.21015375,21.9335512,21933551.2,29651786,,
169,Sam Hauser,27,BOS,PF,71,19,1541,0.632,14.3,2.6,1.8,4.4,0.136,0.9,-0.1,0.8,1.1,0.744,0.207848967,21.79738562,21797385.62,2092344,,
288,Tre Jones,25,2TM,PG,46,9,905,0.617,14.1,2.3,0.6,2.9,0.155,0.5,1,1.5,0.8,,0.203222484,21.66122004,21661220.04,9104167,,
270,Kyle Anderson,31,2TM,PF,61,4,1002,0.538,15.9,1.3,1.5,2.8,0.135,-0.6,2.2,1.5,0.9,,0.201489575,21.52505447,21525054.47,8780488,,
1,Mikal Bridges,28,NYK,SF,82,82,3036,0.585,19.6,3.7,2,5.7,0.09,0.4,-0.9,-0.5,1.2,0.622,0.200922251,21.38888889,21388888.89,23300000,,
111,Cason Wallace,21,OKC,SG,68,43,1876,0.562,12.8,1.8,3.4,5.2,0.133,-1.5,2.6,1,1.5,0.829,0.19681979,21.25272331,21252723.31,5555880,,
161,Caris LeVert,30,CLE,SF,38,3,904,0.58,18.1,1.3,1,2.3,0.124,0.5,0.7,1.2,0.7,0.78,0.191260719,21.11655773,21116557.73,16615384,,
